"","title","rating","year","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Fantasy","Horror","Musical","Mystery","Romance","SciFi","Thriller","War","Western","FilmNoir","freq"
"1","'burbs, The",2.96941489361702,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1504
"2","'night Mother",3.45023696682464,1986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211
"3","'Round Midnight",3.72,1986,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50
"4","'Til There Was You",2.83774834437086,1997,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,302
"5","""Great Performances"" Cats",3.58333333333333,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"6","*batteries not included",3.15314401622718,1987,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,493
"7","...All the Marbles (a.k.a. The California Dolls)",2.21739130434783,1981,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,23
"8","...And God Created Woman (Et Dieu... créa la femme)",3.08552631578947,1956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76
"9","...And God Spoke",3.28260869565217,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"10","...And Justice for All",3.65270935960591,1979,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,609
"11","[Rec]",3.77464788732394,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,71
"12","1-900 (06)",3.55769230769231,1994,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,78
"13","1, 2, 3, Sun (Un, deuz, trois, soleil)",2.5,1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"14","10",2.86950549450549,1979,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,364
"15","10 Items or Less",3.41071428571429,2006,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,112
"16","10 Rillington Place",3.52222222222222,1971,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,45
"17","10 Things I Hate About You",3.42349466463415,1999,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5248
"18","10 to Midnight",2.43589743589744,1983,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39
